timestamp,0V8_AON_A_current_A,0V8_SW_A_current_A,1V1_SYS_A_current_A,1V8_SYS_A_current_A,3V3_ADC_A_current_A,3V3_DAC_A_current_A,3V3_SYS_A_current_A,3V7_WL_SW_A_current_A,DDR_VDD2_A_current_A,DDR_VDDQ_A_current_A,HDMI_A_current_A,VDD_CORE_A_current_A,0V8_AON_V_voltage_V,0V8_SW_V_voltage_V,1V1_SYS_V_voltage_V,1V8_SYS_V_voltage_V,3V3_ADC_V_voltage_V,3V3_DAC_V_voltage_V,3V3_SYS_V_voltage_V,3V7_WL_SW_V_voltage_V,BATT_V_voltage_V,DDR_VDD2_V_voltage_V,DDR_VDDQ_V_voltage_V,EXT5V_V_voltage_V,HDMI_V_voltage_V,VDD_CORE_V_voltage_V
2025-08-19T12:22:22.456023,0.00482295,0.6841269,0.3454792,0.2869234,0.00018315,0.0,0.1600525,0.00292779,0.2869234,0.0568632,0.0105006,5.94738,0.8008783,0.8018308,1.107325,1.806592,3.314099,3.315015,3.319313,3.728543,0.0,1.113552,0.608058,5.207239,5.20992,0.8781188
2025-08-19T12:22:23.586691,0.00543345,0.6802233,0.3454792,0.2781401,6.105e-05,0.0,0.1639562,0.00487965,0.3025383,0.0769614,0.0106227,6.56355,0.8002922,0.8014644,1.108058,1.808545,3.313183,3.315015,3.307249,3.741535,0.0,1.112453,0.6032961,5.19384,5.20858,0.8775815
2025-08-19T12:22:24.614767,0.00494505,0.586534,0.3454792,0.2781401,6.105e-05,0.0,0.1561488,0.00292779,0.1073523,0.007353,0.0107448,5.64376,0.8011714,0.8018308,1.108058,1.809034,3.314099,3.316846,3.316529,3.724831,0.0,1.107691,0.6025635,5.2059,5.21528,0.8770444
2025-08-19T12:22:25.647666,0.0058608,0.6841269,0.3454792,0.2830197,6.105e-05,0.0,0.1707878,0.00097593,0.2839956,0.07254961,0.0107448,3.76846,0.8008783,0.8014644,1.108058,1.808057,3.314099,3.316846,3.307249,3.740607,0.0,1.105127,0.6036624,5.20322,5.22064,0.8783874
2025-08-19T12:22:26.672833,0.0053724,0.669488,0.348407,0.2810678,6.105e-05,0.0,0.16786,0.00292779,0.3015624,0.07892221,0.0107448,6.26886,0.8008783,0.802197,1.108058,1.809522,3.314099,3.316846,3.309105,3.729471,0.0,1.113552,0.6065928,5.20054,5.2126,0.8781188
2025-08-19T12:22:27.704526,0.00482295,0.683151,0.3464552,0.2820438,6.105e-05,0.0,0.1561488,0.00097593,0.2742363,0.0696084,0.0107448,6.501039,0.8011714,0.8014644,1.107325,1.809034,3.314099,3.314099,3.307249,3.748958,0.0,1.113552,0.600732,5.22198,5.22064,0.8786561
2025-08-19T12:22:28.733785,0.00457875,0.6880306,0.3464552,0.2869234,6.105e-05,0.0,0.1688359,0.00292779,0.2713085,0.0750006,0.0101343,6.35816,0.8011714,0.8010981,1.107691,1.809522,3.314099,3.314099,3.341584,3.726687,0.0,1.105127,0.6018309,5.1925,5.20456,0.8789246
2025-08-19T12:22:29.765585,0.00470085,0.6626565,0.3571904,0.2859475,0.00018315,0.0,0.1600525,0.00195186,0.2957068,0.0696084,0.0106227,5.8938,0.8011714,0.8029296,1.108058,1.81001,3.312268,3.316846,3.307249,3.720192,0.0,1.104394,0.6047613,5.20188,5.19786,0.876507
2025-08-19T12:22:30.794423,0.00482295,0.683151,0.3454792,0.2810678,6.105e-05,0.0,0.1581007,0.00195186,0.2800919,0.07745161,0.0106227,6.42067,0.8014645,0.8018308,1.106959,1.806592,3.313183,3.314099,3.308177,3.723903,0.0,1.104394,0.6014646,5.20456,5.19786,0.8832226
2025-08-19T12:22:31.826709,0.00555555,0.5621357,0.3464552,0.2683808,0.00018315,0.0,0.1659081,0.00097593,0.0390372,0.0137256,0.0107448,4.52751,0.8008783,0.802197,1.107325,1.808057,3.312268,3.315931,3.327664,3.722976,0.0,1.10879,0.6032961,5.19786,5.20322,0.876507
